epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,929.448,1.2323,2.45174,1.512,1.09917,0,0.72091,0.64429,0.70768,0.46827,0.70267,0.61729,0.66532,0.36602,1.19559,2.28464,1.18248,1.12376,0,0.009997,0.00333233,0.009997,0.00333233,0.009997,0.00333233,0.009997,0.00333233
2,1754.61,1.19672,2.36202,1.07511,1.08006,0,0.70845,0.64853,0.70791,0.48201,0.70105,0.61701,0.66661,0.37479,1.20264,2.31347,1.09752,1.1415,0,0.0199936,0.00666454,0.0199936,0.00666454,0.0199936,0.00666454,0.0199936,0.00666454
3,2574.85,1.22961,2.40771,1.07324,1.10268,0,0.6752,0.6454,0.68132,0.45659,0.66513,0.6151,0.64077,0.35592,1.25072,2.3729,1.13667,1.18116,0,0.0299766,0.00999222,0.0299766,0.00999222,0.0299766,0.00999222,0.0299766,0.00999222
4,3395.1,1.22736,2.39794,1.05182,1.11034,0,0.70723,0.65566,0.70767,0.47786,0.70127,0.62465,0.66401,0.37299,1.2409,2.31111,1.09226,1.17614,0,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
5,4240.43,1.19486,2.33602,1.00222,1.09478,0,0.71593,0.65584,0.70747,0.48515,0.69867,0.62586,0.66359,0.3774,1.21397,2.2923,1.05797,1.16435,0,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
6,5094.4,1.17407,2.30132,0.96896,1.08546,0,0.72666,0.66842,0.72476,0.49995,0.71747,0.6351,0.68238,0.39171,1.20427,2.26722,1.03231,1.1594,0,0.029873,0.00995765,0.029873,0.00995765,0.029873,0.00995765,0.029873,0.00995765
7,5939.48,1.1548,2.26047,0.93895,1.07498,0,0.71397,0.67537,0.72616,0.50473,0.72567,0.63804,0.68608,0.39764,1.18872,2.22174,1.01333,1.14448,0,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
8,6759.83,1.14282,2.23421,0.92387,1.06988,0,0.7418,0.66227,0.73081,0.5077,0.74236,0.62842,0.68926,0.39812,1.18894,2.21386,0.9988,1.14048,0,0.0297513,0.00991711,0.0297513,0.00991711,0.0297513,0.00991711,0.0297513,0.00991711
9,7574.15,1.13438,2.22396,0.9137,1.0667,0,0.73952,0.67475,0.73964,0.51757,0.72255,0.65159,0.69933,0.41049,1.17466,2.17658,0.97691,1.13869,0,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
10,8387.44,1.12407,2.19487,0.89056,1.05949,0,0.75357,0.67968,0.74661,0.52657,0.74678,0.6501,0.70366,0.41143,1.16428,2.16457,0.96076,1.12997,0,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
11,9209.5,1.11608,2.18172,0.88138,1.05657,0,0.74742,0.68458,0.74766,0.52823,0.7319,0.65802,0.70502,0.41607,1.15909,2.16114,0.95306,1.1285,0,0.029494,0.00983133,0.029494,0.00983133,0.029494,0.00983133,0.029494,0.00983133
