epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,18548.6,1.30671,2.17541,1.10449,0.0041,1.2372,0.73113,0.65357,0.72031,0.49585,0.72939,0.62727,0.68568,0.40298,1.28852,2.08537,1.10179,0.00707,0,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
23,19373.7,1.30237,2.16636,1.09295,0.0041,1.22974,0.72911,0.66254,0.72243,0.49849,0.72138,0.64682,0.69069,0.40639,1.27891,2.07771,1.09408,0.00701,0,0.0276043,0.00920142,0.0276043,0.00920142,0.0276043,0.00920142,0.0276043,0.00920142
24,20204.3,1.30438,2.1715,1.09721,0.00408,1.23127,0.73897,0.64827,0.7222,0.50054,0.72747,0.63345,0.68789,0.40915,1.27431,2.06617,1.08342,0.00694,0,0.0273883,0.00912942,0.0273883,0.00912942,0.0273883,0.00912942,0.0273883,0.00912942
25,21031.7,1.29535,2.1493,1.07722,0.00404,1.19486,0.74345,0.66812,0.73225,0.50482,0.74543,0.6402,0.69802,0.41227,1.27457,2.06622,1.07485,0.00696,0,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
26,21857.7,1.29466,2.14915,1.0799,0.00406,1.21305,0.73562,0.66357,0.73083,0.50702,0.7327,0.64425,0.69779,0.41359,1.26967,2.05094,1.06819,0.00691,0,0.0269313,0.0089771,0.0269313,0.0089771,0.0269313,0.0089771,0.0269313,0.0089771
27,22687,1.29856,2.14684,1.07882,0.00408,1.18409,0.7419,0.66779,0.73371,0.51097,0.73522,0.64656,0.70062,0.41878,1.26377,2.03715,1.06579,0.00682,0,0.0266906,0.00889687,0.0266906,0.00889687,0.0266906,0.00889687,0.0266906,0.00889687
28,23515.6,1.293,2.14375,1.06984,0.00405,1.19756,0.74025,0.66693,0.73521,0.51281,0.742,0.6405,0.70275,0.41905,1.26516,2.03784,1.05845,0.00683,0,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401
29,24344.4,1.28934,2.12978,1.06666,0.004,1.18788,0.74444,0.67032,0.7416,0.51493,0.74112,0.65078,0.708,0.42143,1.26254,2.0327,1.05279,0.00679,0,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
30,25176.6,1.28877,2.1301,1.05741,0.00402,1.15532,0.74482,0.67846,0.74445,0.52065,0.7391,0.65714,0.70955,0.42502,1.25461,2.02062,1.04411,0.00676,0,0.0259218,0.0086406,0.0259218,0.0086406,0.0259218,0.0086406,0.0259218,0.0086406
31,26006.7,1.28677,2.13067,1.05784,0.004,1.17203,0.74923,0.67775,0.74535,0.52086,0.74595,0.65286,0.71085,0.42522,1.2551,2.01964,1.04384,0.00673,0,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
32,26839.6,1.28308,2.12322,1.05622,0.00401,1.1518,0.72915,0.67827,0.74394,0.52006,0.74375,0.64643,0.71277,0.42492,1.25296,2.01546,1.03586,0.00675,0,0.0253721,0.00845736,0.0253721,0.00845736,0.0253721,0.00845736,0.0253721,0.00845736
33,27675,1.27811,2.11495,1.04504,0.00396,1.16264,0.73592,0.67594,0.74479,0.52183,0.7353,0.65197,0.71183,0.42737,1.24704,2.00922,1.03847,0.00667,0,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
34,28510.2,1.28254,2.11721,1.04479,0.00396,1.16429,0.74316,0.68163,0.74901,0.52451,0.7372,0.66053,0.71355,0.42901,1.24852,2.00902,1.02635,0.00666,0,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477
35,29338.1,1.28131,2.10775,1.04328,0.00396,1.14822,0.75122,0.68109,0.75048,0.5271,0.74299,0.65891,0.71779,0.43221,1.24321,2.00043,1.02559,0.00661,0,0.0244954,0.00816514,0.0244954,0.00816514,0.0244954,0.00816514,0.0244954,0.00816514
